dataset,trainer,model,seed,accs,mccs,uai_05,uai_01,uai_cf,uai_ar_05,uai_ar_01
nlm,ROSS,mlp,2,0.6575,0.34797270161731525,0.568,0.555,0.552,0.479,0.448
compas,CAL,mlp,35,0.68582995951417,0.3669042382213926,0.154,0.113,0.105,0.048,0.008
compas,CAL,mlp,36,0.6526315789473685,0.30362764117831115,0.143,0.106,0.094,0.048,0.011
nlm,CAL,mlp,46,0.32,0.14935020480698188,0.378,0.364,0.363,0.159,0.144
nlm,CAL,mlp,47,0.29,0.1671224144867388,0.319,0.307,0.306,0.243,0.241
nlm,CAL,mlp,48,0.325,0.1715025986955996,0.373,0.358,0.356,0.253,0.252
imf,ROSS,lin,44,0.705,0.43946512442767893,0.038,0.007,0.0,0.038,0.007
imf,ROSS,lin,45,0.7025,0.4342728193361629,0.038,0.013,0.007,0.035,0.008
imf,ROSS,lin,46,0.715,0.4264290048672456,0.074,0.045,0.038,0.031,0.014
nlm,AL,mlp,56,0.5875,0.3583392361329889,0.548,0.531,0.528,0.396,0.372
nlm,AL,mlp,57,0.605,0.33392166040652305,0.539,0.528,0.518,0.356,0.34
nlm,AL,mlp,58,0.6025,0.3418165171832182,0.53,0.521,0.52,0.372,0.358
nlm,AL,mlp,59,0.5925,0.37192645031948246,0.549,0.525,0.521,0.359,0.339
nlm,ERM,mlp,61,0.6925,0.4516808830183607,0.601,0.584,0.58,0.408,0.36
nlm,ERM,mlp,62,0.7075,0.3488691979858093,0.523,0.502,0.498,0.376,0.338
nlm,ERM,mlp,63,0.7,0.45945318832947846,0.571,0.552,0.549,0.381,0.353
loan,ERM,mlp,14,0.87,0.7443545886161168,0.351,0.345,0.335,0.202,0.19
loan,ERM,mlp,15,0.835,0.6780965842033813,0.349,0.343,0.339,0.188,0.177
loan,CAL,mlp,30,0.695,0.3918476464570593,0.23,0.229,0.225,0.16,0.159
loan,CAL,mlp,31,0.645,0.3328840910494807,0.248,0.238,0.238,0.164,0.159
loan,CAL,mlp,32,0.605,0.25867608129399167,0.227,0.226,0.224,0.157,0.155
compas,ROSS,mlp,93,0.6396761133603239,0.2967888581377659,0.193,0.154,0.143,0.054,0.011
compas,ROSS,mlp,94,0.6234817813765182,0.2930402369720743,0.271,0.197,0.174,0.089,0.023
compas,ROSS,mlp,95,0.6194331983805668,0.22971143848796052,0.25,0.208,0.202,0.057,0.013
adult,ERM,mlp,4,0.808046683046683,0.5424843466606944,0.215,0.186,0.18,0.034,0.006
adult,ERM,mlp,50,0.8040540540540541,0.5292676683658746,0.216,0.184,0.181,0.039,0.006
nlm,LLR,mlp,53,0.4,0.25,0.465,0.453,0.448,0.316,0.292
nlm,LLR,mlp,54,0.35,0.21079332779412802,0.253,0.239,0.235,0.092,0.087
imf,ERM,lin,34,0.715,0.4285265296319104,0.079,0.059,0.055,0.044,0.023
imf,ERM,lin,35,0.715,0.4413301130575835,0.065,0.042,0.035,0.043,0.027
lin,CAPIFY,lin,80,0.665,0.2641529685406594,0.152,0.132,0.126,0.103,0.097
lin,CAPIFY,lin,81,0.645,0.2579868115013347,0.176,0.146,0.139,0.106,0.097
loan,CAPIFY,mlp,65,0.6775,0.35358179591414074,0.205,0.2,0.198,0.119,0.115
loan,CAPIFY,mlp,66,0.68,0.37797901840508313,0.205,0.192,0.191,0.123,0.116
loan,CAPIFY,mlp,73,0.6775,0.3620510760917902,0.21,0.207,0.207,0.12,0.12
loan,CAPIFY,mlp,74,0.7225,0.4435127936644611,0.197,0.186,0.179,0.109,0.106
loan,ERM,mlp,46,0.8325,0.6636910518168696,0.296,0.29,0.288,0.184,0.175
loan,ERM,mlp,63,0.875,0.7496446520924652,0.334,0.327,0.322,0.213,0.205
compas,ROSS,mlp,18,0.6299595141700405,0.2372005446305742,0.203,0.157,0.147,0.063,0.012
compas,ROSS,mlp,19,0.6566801619433198,0.3132932094796596,0.194,0.146,0.131,0.056,0.006
compas,ROSS,mlp,1,0.6623481781376518,0.33660803998109456,0.293,0.236,0.221,0.076,0.013
adult,LLR,mlp,52,0.7435503685503686,0.47917818079020097,0.249,0.225,0.218,0.037,0.008
adult,LLR,mlp,53,0.7867014742014742,0.4638021726050909,0.151,0.126,0.115,0.031,0.01
nlm,ROSS,mlp,75,0.68,0.4027552085361453,0.625,0.609,0.607,0.464,0.426
nlm,ROSS,mlp,76,0.66,0.37334204500685597,0.598,0.563,0.561,0.412,0.377
nlm,ROSS,mlp,77,0.7075,0.42604602507932066,0.54,0.519,0.515,0.463,0.456
adult,LLR,mlp,60,0.769502457002457,0.46384500051664346,0.193,0.166,0.161,0.044,0.01
adult,LLR,mlp,61,0.7825552825552825,0.5058354394021309,0.221,0.187,0.178,0.042,0.011
compas,ROSS,mlp,38,0.6299595141700405,0.2937811134012033,0.168,0.138,0.131,0.043,0.007
compas,ROSS,mlp,39,0.6097165991902834,0.2092824649962331,0.318,0.26,0.241,0.094,0.024
loan,CAL,mlp,21,0.64,0.33205655589574884,0.281,0.278,0.276,0.205,0.198
loan,CAL,mlp,22,0.625,0.32952171604751934,0.282,0.28,0.28,0.192,0.186
loan,ROSS,mlp,67,0.7925,0.584579069914543,0.39,0.38,0.377,0.276,0.268
loan,ROSS,mlp,68,0.825,0.6800028330499078,0.396,0.393,0.393,0.282,0.275
loan,ROSS,mlp,59,0.84,0.6882725354235755,0.38,0.373,0.372,0.289,0.282
loan,ROSS,mlp,5,0.825,0.6540580460016491,0.378,0.374,0.371,0.255,0.253
loan,ROSS,mlp,60,0.84,0.6836909702773694,0.393,0.387,0.384,0.239,0.233
adult,ERM,mlp,57,0.7748771498771498,0.5225096829138071,0.207,0.168,0.164,0.045,0.007
adult,ERM,mlp,58,0.8006756756756757,0.5430255049589183,0.208,0.191,0.184,0.035,0.006
adult,ERM,mlp,59,0.8083538083538083,0.5302383126337499,0.194,0.161,0.153,0.049,0.009
adult,ERM,mlp,5,0.8020577395577395,0.5537355710754067,0.218,0.19,0.185,0.028,0.006
lin,ROSS,lin,7,0.7225,0.40467022890634274,0.455,0.429,0.425,0.082,0.072
lin,ROSS,lin,80,0.6875,0.35203170538460477,0.512,0.489,0.486,0.127,0.115
nlm,CAPIFY,mlp,13,0.435,0.27686809491990383,0.366,0.335,0.328,0.2,0.193
nlm,CAPIFY,mlp,14,0.43,0.270970431697742,0.375,0.354,0.35,0.219,0.209
loan,CAL,mlp,74,0.6775,0.3816984628488535,0.258,0.252,0.252,0.201,0.196
loan,CAL,mlp,75,0.6875,0.3969110087092089,0.283,0.274,0.271,0.191,0.184
loan,CAL,mlp,76,0.6175,0.29279542838883993,0.304,0.299,0.296,0.219,0.214
nlm,CAPIFY,mlp,47,0.4675,0.262046285818643,0.42,0.392,0.386,0.253,0.235
nlm,CAPIFY,mlp,48,0.3825,0.2354001039042317,0.333,0.317,0.313,0.139,0.132
lin,AL,lin,36,0.605,0.2134065781197382,0.894,0.89,0.889,0.192,0.172
lin,AL,lin,37,0.635,0.2774379366256997,0.902,0.898,0.894,0.211,0.187
imf,ROSS,lin,71,0.7475,0.4952304759197412,0.049,0.019,0.017,0.032,0.012
imf,ROSS,lin,72,0.7025,0.41502013854704706,0.038,0.01,0.003,0.033,0.005
imf,ROSS,lin,73,0.71,0.4353739068407689,0.049,0.014,0.011,0.045,0.015
imf,ROSS,lin,74,0.6725,0.33972410948813864,0.044,0.013,0.004,0.041,0.006
compas,CAL,mlp,12,0.6591093117408907,0.31006084251251514,0.092,0.062,0.052,0.046,0.009
compas,CAL,mlp,13,0.6704453441295547,0.3242131744609712,0.082,0.054,0.045,0.041,0.006
loan,CAPIFY,mlp,80,0.72,0.43625150270633406,0.235,0.231,0.229,0.161,0.156
loan,CAPIFY,mlp,81,0.6275,0.25435533036025165,0.216,0.207,0.206,0.113,0.108
loan,CAPIFY,mlp,82,0.7075,0.41631750230235715,0.263,0.256,0.254,0.191,0.181
nlm,ROSS,mlp,99,0.7625,0.47029378445460046,0.453,0.439,0.434,0.378,0.364
nlm,ROSS,mlp,9,0.7075,0.4453560419255688,0.608,0.586,0.577,0.395,0.365
nlm,LLR,mlp,68,0.3825,0.23608940316093005,0.393,0.384,0.38,0.172,0.141
nlm,LLR,mlp,69,0.4175,0.2520402897045539,0.401,0.394,0.39,0.098,0.079
lin,ERM,lin,37,0.7225,0.40799705826049343,0.485,0.471,0.469,0.207,0.196
lin,ERM,lin,38,0.6925,0.3780264697776021,0.516,0.502,0.495,0.215,0.199
lin,ERM,lin,39,0.7025,0.39925217612613584,0.487,0.472,0.467,0.177,0.162
lin,ERM,lin,3,0.7175,0.40080979616283435,0.391,0.376,0.369,0.197,0.186
nlm,CAL,mlp,77,0.3375,0.12421076742377835,0.447,0.429,0.426,0.195,0.178
nlm,CAL,mlp,78,0.3225,0.17239713115310792,0.505,0.483,0.476,0.271,0.255
nlm,CAL,mlp,79,0.3375,0.1660545501495184,0.327,0.312,0.309,0.229,0.224
adult,CAL,mlp,22,0.7936117936117936,0.5138880002951626,0.209,0.18,0.167,0.043,0.011
adult,CAL,mlp,23,0.7953009828009828,0.5263092034225958,0.247,0.216,0.206,0.049,0.009
adult,CAL,mlp,24,0.7863943488943489,0.5084005555032672,0.277,0.235,0.227,0.052,0.012
lin,CAL,lin,61,0.6225,0.2620543695955973,0.889,0.883,0.881,0.181,0.158
lin,CAL,lin,62,0.575,0.12919240283580768,0.863,0.858,0.856,0.341,0.324
nlm,LLR,mlp,11,0.375,0.218240881378801,0.382,0.372,0.37,0.162,0.154
nlm,LLR,mlp,12,0.41,0.25770047283474923,0.39,0.376,0.373,0.104,0.098
adult,ROSS,mlp,65,0.6698402948402948,0.40474969174083336,0.184,0.088,0.071,0.085,0.017
adult,ROSS,mlp,66,0.6885749385749386,0.40117136674281245,0.193,0.088,0.067,0.1,0.025
lin,ERM,lin,51,0.6725,0.3404368484226216,0.45,0.438,0.437,0.199,0.178
lin,ERM,lin,52,0.6575,0.36936462207172954,0.397,0.379,0.378,0.151,0.143
lin,ERM,lin,53,0.6175,0.2471416363696946,0.496,0.485,0.484,0.187,0.172
lin,ERM,lin,54,0.675,0.31359610298598767,0.431,0.42,0.418,0.168,0.153
lin,CAL,lin,81,0.5775,0.1666101124159542,0.935,0.93,0.93,0.226,0.206
lin,CAL,lin,82,0.5775,0.15597575627891633,0.937,0.935,0.935,0.273,0.247
lin,CAL,lin,83,0.5025,0.012207039096447686,0.912,0.906,0.905,0.222,0.202
lin,CAPIFY,lin,35,0.5225,0.12674345571780823,0.206,0.169,0.159,0.069,0.059
compas,AL,mlp,93,0.676923076923077,0.35481692845188384,0.18,0.143,0.139,0.045,0.004
compas,AL,mlp,94,0.68582995951417,0.3600483432972803,0.165,0.14,0.133,0.035,0.005
loan,CAPIFY,mlp,12,0.7025,0.40335065824351246,0.198,0.189,0.187,0.122,0.112
compas,ERM,mlp,97,0.6906882591093118,0.3786692469220674,0.216,0.18,0.171,0.037,0.006
compas,ERM,mlp,98,0.6623481781376518,0.3279201782375681,0.173,0.139,0.134,0.044,0.01
compas,ERM,mlp,99,0.6607287449392713,0.3117574488249371,0.113,0.08,0.069,0.042,0.009
compas,ERM,mlp,9,0.6842105263157895,0.35274314800955703,0.29,0.25,0.249,0.045,0.007
imf,CAL,lin,90,0.5875,0.2138467267416234,0.373,0.363,0.36,0.098,0.078
imf,CAL,lin,91,0.575,0.19455359559442958,0.218,0.21,0.208,0.121,0.118
imf,CAPIFY,lin,37,0.715,0.4299149919063591,0.043,0.005,0.004,0.031,0.005
imf,CAPIFY,lin,38,0.75,0.5009024373130382,0.037,0.008,0.0,0.036,0.008
imf,CAPIFY,lin,39,0.7375,0.475851126869094,0.041,0.015,0.008,0.037,0.008
imf,CAPIFY,lin,3,0.705,0.4095941376162435,0.042,0.01,0.001,0.039,0.01
loan,ERM,mlp,67,0.8375,0.672868075948697,0.34,0.331,0.33,0.238,0.234
loan,ERM,mlp,68,0.835,0.6733804983414345,0.328,0.324,0.323,0.22,0.216
loan,ERM,mlp,69,0.8425,0.6814138142176707,0.303,0.3,0.299,0.19,0.18
loan,ERM,mlp,6,0.86,0.7192982456140351,0.382,0.373,0.369,0.266,0.257
imf,LLR,lin,98,0.7275,0.453256918948644,0.254,0.244,0.239,0.095,0.075
imf,LLR,lin,99,0.72,0.43892155637740504,0.078,0.057,0.054,0.042,0.024
imf,CAPIFY,lin,66,0.7275,0.4551422541851234,0.034,0.01,0.0,0.032,0.006
imf,CAPIFY,lin,67,0.69,0.4128259909819536,0.057,0.016,0.011,0.046,0.013
imf,CAPIFY,lin,68,0.7225,0.4435589660266745,0.049,0.012,0.004,0.047,0.011
nlm,AL,mlp,1,0.6025,0.35972474610786426,0.542,0.527,0.523,0.371,0.359
nlm,AL,mlp,20,0.6375,0.44676817695668786,0.572,0.556,0.553,0.414,0.39
nlm,AL,mlp,21,0.58,0.3584475879045418,0.545,0.537,0.533,0.362,0.337
adult,CAL,mlp,83,0.8023648648648649,0.518293791812708,0.221,0.197,0.187,0.033,0.004
adult,CAL,mlp,88,0.800982800982801,0.5166505268996339,0.254,0.211,0.202,0.048,0.006
nlm,AL,mlp,12,0.6075,0.38839355667647435,0.507,0.49,0.489,0.331,0.317
nlm,AL,mlp,13,0.5675,0.3451703883084435,0.562,0.544,0.539,0.382,0.365
nlm,AL,mlp,14,0.5625,0.3605339631805738,0.56,0.545,0.54,0.394,0.384
nlm,ERM,mlp,54,0.7125,0.46531669812246246,0.634,0.615,0.604,0.445,0.416
nlm,ERM,mlp,55,0.6875,0.32558323492940355,0.518,0.501,0.5,0.378,0.356
nlm,ERM,mlp,56,0.75,0.39883931671871586,0.451,0.431,0.426,0.331,0.308
imf,CAL,lin,38,0.655,0.3151474257528698,0.479,0.466,0.462,0.161,0.139
imf,CAL,lin,39,0.61,0.2287057665381126,0.432,0.419,0.413,0.114,0.093
imf,CAL,lin,3,0.5425,0.14206321294199437,0.221,0.215,0.214,0.121,0.118
nlm,CAPIFY,mlp,29,0.4225,0.24560513053334854,0.428,0.415,0.412,0.121,0.118
nlm,CAPIFY,mlp,2,0.35,0.19290652170188646,0.282,0.262,0.259,0.163,0.154
nlm,CAPIFY,mlp,30,0.4725,0.2887639198339158,0.374,0.361,0.357,0.236,0.226
nlm,LLR,mlp,88,0.3275,0.194221555333382,0.371,0.337,0.332,0.198,0.178
nlm,LLR,mlp,89,0.3925,0.21997261443724234,0.392,0.384,0.382,0.077,0.059
compas,ERM,mlp,39,0.6761133603238867,0.3545254486074667,0.197,0.176,0.167,0.04,0.01
compas,ERM,mlp,3,0.6631578947368421,0.3253513505994489,0.223,0.191,0.182,0.044,0.009
adult,ROSS,mlp,95,0.6580159705159705,0.3489856437422006,0.213,0.096,0.073,0.106,0.02
adult,ROSS,mlp,96,0.6636977886977887,0.40404393796217836,0.186,0.087,0.069,0.094,0.024
compas,ROSS,mlp,24,0.674493927125506,0.3401104492087702,0.268,0.22,0.204,0.066,0.011
